artist, artist_normalized
"May J Blige","Mary J Blige"
"May Lou Lord","Mary Lou Lord"
"Maynard and The Musties","Maynard and the Musties"
"Mayor Hawthorn","Mayor Hawthorne"
"  Mazzy Star","Mazzy Star"
" Mazzy Star","Mazzy Star"
"Mazzy Star ","Mazzy Star"
"Mazzy Starr","Mazzy Star"
"Mbongawna Star","Mbongwana Star"
"MC5, The","The The"
"Mc 900 Foot Jesus","MC 900 Foot Jesus"
"MC 900 Ft Jesus","MC 900 Ft. Jesus"
"MC900 Ft Jesus","MC900 Foot Jesus"
"Mc Beyonce","Beyonce"
"MC Beyonce","Beyonce"
"McClinton, Delbert"," Delbert McClinton"
"Mcclusky","Mclusky"
"McClusky","Mclusky"
" McCoy Tyner","McCoy Tyner"
"*McCoy Tyner","McCoy Tyner"
"Mc Coy Tyner","McCoy Tyner"
"McCoy Tyner Trio","McCoy Tyner"
"MC Eight","MC Eiht"
"  McGarrigles","McGarrigles Sisters"
"McGarrigles","The McGarrigles"
"McKinley Mitchel","McKinley Mitchell"
"McKinley ""Soul"" Mitchell","McKinley Mitchell"
"McKinley 'Soul' Mitchell","McKinley Mitchell"
"Mcklusky","Mclusky"
"MC Lyte ‎","MC Lyte"
"Mcoy Tyner","McCoy Tyner"
"MC Search","MC Serch"
"MC Solar","MC Solaar"
"Meade ""Lux"" Lewis","Meade Lux Lewis"
"Meatbeat Manifesto","Meat Beat Manifesto"
"Meat Beat Manifesto & DHS","Meat Beat Manifesto"
"Meat Beat Minifesto","Meat Beat Manifesto"
"Mecedes Sosa","Mercedes Sosa"
"Medcine","Medicine"
"Medeski Marin and Wood","Medeski Martin and Wood"
"Medeski Marin & Wood","Medeski Martin & Wood"
"Medeski, Martin &amp; Wood","Medeski, Martin & Wood"
"Medeski Martin and Wod","Medeski Martin and Wood"
"Medeski Martin and wood","Medeski Martin and Wood"
"Medeski, Martin, Scofield, and Wood","Medeski, Martin, Scofield and Wood"
"Medeski Martin + Wood","Medeski Martin & Wood"
"Medeski\, Martin & Wood","Medeski, Martin & Wood"
"Medeski Scofield Martin and Wood","Medeski, Scofield, Martin and Wood"
"Medeski, Scofield, Martin, and Wood","Medeski, Scofield, Martin and Wood"
"Medeski, Scofield, Martin, & Wood","Medeski, Scofield, Martin & Wood"
"Medeski, Scofield, Martin, Wood","Medeski, Scofield, Martin & Wood"
"MED & Guilty Simpson","Guilty Simpson"
"Medication","Medications"
"Mediski Martin & Wood","Medeski Martin & Wood"
"Mediski, Martin & Wood","Medeski, Martin & Wood"
"Meditations","The Meditations"
"Medium Medium","Medium Build"
"Meerna","Meernaa"
"Megadeath","Megadeth"
"Megafauna","Megafaun"
"Megan McDonough","Megon McDonough"
"Megan thee Stallion","Megan Thee Stallion"
"Megan Thee Stallion & UGK","Megan Thee Stallion"
"Megan the Stallion","Megan Thee Stallion"
"Megan The Stallion","Megan Thee Stallion"
"Megga Banton","Mega Banton"
" Meg Hutchinson","Meg Hutchinson"
"Meg Mac ","Meg Mac"
"Meg Meyers","Meg Myers"
"  Megon McDonough","Megon McDonough"
" Megon McDonough","Megon McDonough"
"Mejical Cloudz","Majical Cloudz"
"  Melanie ","Melanie"
" Melanie","Melanie"
"Melanie ","Melanie"
"Melanie B","Melanie"
"Melanie De Basio","Melanie De Biasio"
"Melanie DeBiasio","Melanie De Biasio"
"Mélanie De Biasio","Melanie De Biasio"
"Melanie & The Edwin Hawkins Singers","The Edwin Hawkins Singers"
"Melissa ethridge","Melissa Ethridge"
"  Melissa Ferrick","Melissa Ferrick"
" Melissa Ferrick","Melissa Ferrick"
"Melle Mel & Duke Bootee","Mele Mel & Duke Bootee"
"Melle Mel & Grandmaster Flash","Grandmaster & Melle Mel"
"Mellow Man","Man Man"
"Mellvins","Melvins"
"Melodians","The Melodians"
"Melodians, The","The Melodians"
"Melody Echo Chamber","Melody's Echo Chamber"
"Melody's Echo Chamber.","Melody's Echo Chamber"
"Melody’s Echo Chamber","Melody's Echo Chamber"
"Melodys Echo Chamber","Melody's Echo Chamber"
"Melody's Echo ChamberBre","Melody's Echo Chamber"
"Meloldy's Echo Chamber","Melody's Echo Chamber"
"Mels Tillis","Mel Tillis"
"Mel Torme'","Mel Torme"
"Melvina Reynolds","Malvina Reynolds"
"M elvins","Melvins"
"Melvins ‎","Melvins"
"Me Me Me","Help Me"
"Memoryhouse ","Memoryhouse"
"Memory Man","Man Man"
"Memphis Jug band","Memphis Jug Band"
"Memphis Slim and Matt Guitar Murphy","Memphis Slim & Matt Murphy"
"Memphis & Willie Dixon","Memphis Slim & Willie Dixon"
"Menaham Street Band","Menahan Street Band"
"Menahan?Street Band","Menahan Street Band"
"Menahan Street Band & Roge","Menahan Street Band"
"Menahan Street Band & Rogê","Menahan Street Band"
"Men At Work ","Men At Work"
"Menehan Street Band","Menahan Street Band"
"Men From the Nile","Men From The Nile"
"Menhanan Street Band","Menahan Street Band"
"Menhan Street Band","Menahan Street Band"
"Mental as Anything","Mental As Anything"
"Mentronomy","Metronomy"
"Men without Hats","Men Without Hats"
"Meoldy's Echo Chamber","Melody's Echo Chamber"
"MeÕshell Ndegeocello","Meshell Ndegeocello"
"Mercedes Soda","Mercedes Sosa"
"Mercedes Sosa ","Mercedes Sosa"
"Mercury Dance Band","The Mercury Dance Band"
"Mercy Mercy Mercy","Fistful of Mercy"
"Merele Haggard and the Strangers","Merle Haggard and the Strangers"
"Mere, Santo & Johnny","Santo & Johnny"
"Merhandise","Merchandise"
"Merika Hackman","Marika Hackman"
"Merilee Rush","Merrilee Rush"
"Merilee Rush & The Turnabouts","Merrilee Rush & the Turnabouts"
"Merillee Rush","Merrilee Rush"
"Merla Haggard","Merle Haggard"
"Merle Haggard and The Strangers","Merle Haggard and the Strangers"
"Merle Haggard And The Strangers","Merle Haggard and the Strangers"
"Merle Haggard feat. Willie Nelson","Willie Nelson & Merle Haggard"
"Merle Haggard, George Jones","Merle Haggard & George Jones"
"Merle Haggard & Preservation Hall Jazz Band","Merle Haggard With The Preservation Hall Jazz Band"
"Merle Haggard & the Strangers","Merle Haggard and the Strangers"
"Merle Haggard & the Stranglers","Merle Haggard and the Strangers"
"Merle haggard & Willie Nelson","Willie Nelson & Merle Haggard"
"Merle Haggard & Willie Nelson","Willie Nelson & Merle Haggard"
"Merle Travis ","Merle Travis"
"Merlle Haggard","Merle Haggard"
"Mernomena","Menomena"
"Merrilee Rush And The Turnabouts","Merrilee Rush and The Turnabouts"
"Merrilee Rush & The Turnabouts","Merrilee Rush & the Turnabouts"
"Merrilee & The Turnabouts","Merrilee Rush and The Turnabouts"
"Merrillee Rush","Merrilee Rush"
"Merry Clayton ","Merry Clayton"
"Merry-Go-Round","The Merry-Go-Round"
"Merry-Go-Round, The","The Merry-Go-Round"
"Merseybeats","The Merseybeats"
"Merseybeats, The","The Merseybeats"
"Meryn Cadel","Meryn Cadell"
"Mesehll Ndegeocello","Meshell Ndegeocello"
"Mesheel Ndegeocello","Meshell Ndegeocello"
"Meshelle Ndegeocello","Meshell Ndegeocello"
"Me'Shell Ndegaocello","Me'Shell Ndegeocello"
"Meshell Ndegecello","Meshell Ndegeocello"
"Meshell Ndegeocell","Meshell Ndegeocello"
"Me'shell Ndegeocello","Meshell Ndegeocello"
"Me'shell Ndegeocello ","Meshell Ndegeocello"
"Meshell N'degeocello","Meshell Ndegeocello"
"Meshell Ndegeocello ","Meshell Ndegeocello"
"Meshell Ndegeocello ·","Meshell Ndegeocello"
"Me'shell NdegeOcello","Meshell Ndegeocello"
"Meshell N'Degeocello","Meshell Ndegeocello"
"Meshell NDegeocello","Meshell Ndegeocello"
"Me' Shell Ndegeocello","Me'Shell Ndegeocello"
"Me'Shell N'degeocello","Me'Shell Ndegeocello"
"MeShell Ndegeocello","Me'Shell Ndegeocello"
"MeShellNdegeocello","Me'Shell Ndegeocello"
"Me'shell Ndegéocello","Me'Shell Ndegéocello"
"Me’shell Ndegéocello","Meshell Ndegeocello"
"Meshell Ndegéocello","Meshell Ndegeocello"
"Me’Shell Ndegéocello","Me'Shell Ndegéocello"
"Me'Shell NdegéOcello","Me'Shell Ndegéocello"
"Meshell Ndegocello","Meshell Ndegeocello"
"Me'Shell Ndegocello","Me'Shell Ndegeocello"
"Me'Shell Ndeg_ocello","Me'Shell Ndegeocello"
"Me'shell Ndgeocello","Meshell Ndegeocello"
"Meshell Ndgeocello","Meshell Ndegeocello"
"Meshell Nedegeocello","Meshell Ndegeocello"
"Meshell Nedegocello","Meshell Ndegeocello"
"Meshel Ndegeocello","Meshell Ndegeocello"
"Messengers","The Messengers"
"Metal Flake Mother","Mother Mother"
"Metalica","Metallica"
"Metallica ","Metallica"
"Metallilca","Metallica"
"Metalllica","Metallica"
"Metal Mother","Mother Mother"
"Metal Rouge","Rouge Rouge"
"Meta Meta","Meta Mora"
"Meteors","Meters"
"Methodman and Redman","Method Man and Redman"
"Method Man / Redman","Method Man/Redman"
"Method Man, Redman","Method Man/Redman"
"Methyl Ethell","Methyl Ethel"
"Methyl Ethyl","Methyl Ethel"
"Metric ","Metric"
"Metric Man","Man Man"
"Metrics","Metric"
"Metro Boomin & Future","Future & Metro Boomin"
"Metronom","Metronomy"
"Meyer Hawthorne","Mayer Hawthorne"
"MFSB & The Three Degrees","The Three Degrees"
"MFSB, The Three Degrees","The Three Degrees"
"MGM Studio Orchestra","MGM Studio Orchestra & Chorus"
"MGMT ","MGMT"
"Mguel Migs","Miguel Migs"
"M.I.A. ","M.I.A."
"M.I.A. and AR Rahman","M.I.A. and A R Rahman"
"Mia and Dzihan And Kamien","Dzihan and Kamien"
"Miachael Kiwanuka","Michael Kiwanuka"
"Mia Doi Tood","Mia Doi Todd"
"Mia Do Todd","Mia Doi Todd"
"Miami Sound Machine, Gloria Estefan","Miami Sound Machine with Gloria Estefan"
"Mia Todd Doi","Mia Doi Todd"
"Miaximum Balloon","Maximum Balloon"
"Micachu & The Shapes","Micachu & the Shapes"
"Micahel Franti & Spearhead","Michael Franti & Spearhead"
"Micahel Jackson","Michael Jackson"
"Micahel Kiwanuka","Michael Kiwanuka"
"Micanots","Micranots"
"Michaek Kiwanuka","Michael Kiwanuka"
"Michaela Anne ","Michaela Anne"
"Michael and the Messengers","Michael And The Messengers"
"Michael and the Mubles","Michael and the Mumbles"
"Michael A. Smith","Michael Smith"
"Michael Bloomfield, Al Kooper & Stephen Stills ","Mike Bloomfield, Al Kooper & Stephen Stills"
"Michael Breuckner","Michael Brecker"
"Michael Brueckner","Michael Brecker"
"Michael Ceis","Michael Reis"
"Michael Chrismas","Michael Christmas"
"Michael Crawford & Sarah Brightman","Sarah Brightman and Michael Crawford"
"Michael Davis","Michael Daves"
"MIchael Franti","Michael Franti"
"Michael Franti & Spearhea","Michael Franti & Spearhead"
" Michael Franti & Spearhead","Michael Franti & Spearhead"
"Michael Franti & Spearheads","Michael Franti & Spearhead"
"Michael Franti & Spearhead (US)","Michael Franti & Spearhead"
"Michael Frenti","Michael Franti"
"Michael Gabriel","Mychael Gabriel"
"Michael Gayle","Michael Gay"
"Michael Gira","Michael Gray"
"Michael Hall","Michael C. Hall"
"  Michael Hedges","Michael Hedges"
" Michael Hedges","Michael Hedges"
"Michael & Jackson","Michael Jackson"
"MIchael Jackson","Michael Jackson"
"Michael Jackson & Paul McCartney","Michael Jackson w/ Paul McCartney"
"Michael Jackson with Paul McCartney","Michael Jackson w/ Paul McCartney"
"Michael Jackson With Paul McCartney","Michael Jackson w/ Paul McCartney"
"Michael Johnsen","Michael Johnson"
"Michael J. Smith","Michael Smith"
"Michael Kent Smith","Michael Smith"
"Michael Kiwanuka ","Michael Kiwanuka"
"Michael Kiwanuke","Michael Kiwanuka"
"Michael Kiwauka","Michael Kiwanuka"
"Michael Kwanuka","Michael Kiwanuka"
"Michael Legrand","Michel Legrand"
"Michael Legrande","Michel Legrand"
"Michael McDermott","Garth Michael McDermott"
"Michael Mcdonald","Michael McDonald"
"Michael Nesmith ","Michael Nesmith"
"Michael Nesmith  ","Michael Nesmith"
"Michael Nesmith and the First National Band","Michael Nesmith and The First National Band"
"Michael Nesmith And The First National Band","Michael Nesmith and The First National Band"
"Michael Nesmith & the First National Band","Michael Nesmith and The First National Band"
"Michael Nesmith & The First National Band","Michael Nesmith and The First National Band"
"Michael Nesmith The First National Band","Michael Nesmith and The First National Band"
"Michael Senbello","Michael Sembello"
" Michael Smith","Michael Smith"
"Michael Stanley","Michael Stanley Band"
"Michael Stipe & Big Red Machine","Michael Stipe and Big Red Machine"
"Michael & The Messengers","Michael And The Messengers"
"Michael White","Dr. Michael White"
"Michael W Smith","Michael Smith"
"Michael W. Smith","Michael Smith"
"Michael Yonkers Band","Michael Yonkers"
"Michael Yonkers & GR","Michael Yonkers"
"Michael Yonkers & The Blind Shake","Michael Yonkers with The Blind Shake"
"Michael Yonkers with the Blind Shake","Michael Yonkers with The Blind Shake"
"Michael Yonkers With The Blind Shake","Michael Yonkers with The Blind Shake"
"Michael Younker","Michael Yonkers"
"Michail Franti & Spearhead","Michael Franti & Spearhead"
"Michale Jackson","Michael Jackson"
"Michale Kiwanuka","Michael Kiwanuka"
"Michal Franti And Spearhead","Michael Franti And Spearhead"
"Michasel Jackson","Michael Jackson"
"Micheal Jackson","Michael Jackson"
"Micheal Kiwanuka","Michael Kiwanuka"
"Micheel Kiwanuka","Michael Kiwanuka"
"Michele Legrand","Michel Legrand"
"Michele Shocked","Michelle Shocked"
"Michel Kiwanuka","Michael Kiwanuka"
"Michelle","Michel'le"
"*Michel Legrand","Michel Legrand"
"Michel LeGrand","Michel Legrand"
"Michel Legrande","Michel Legrand"
"Michelle Mallone","Michelle Malone"
"Michelle Schocked","Michelle Shocked"
"Michelle ShockedÂ ","Michelle Shocked"
"Michel Stipe & Big Red Machine","Michael Stipe and Big Red Machine"
"Michigander ","Michigander"
"Michigander  ","Michigander"
"Michigander And Manchester Orchestra","Michigander and Manchester Orchestra"
"Michigander feat. Manchester Orchestra","Michigander and Manchester Orchestra"
"Michigander & Manchester Orchestra","Michigander and Manchester Orchestra"
"Michiganders","Michigander"
"Michina","Michna"
"Michlael Franti & Spearhead","Michael Franti & Spearhead"
"Mickael Davis","Mikaela Davis"
"Mickey Dolenz","Micky Dolenz"
"Mick Jagger and David Bowie","David Bowie and Mick Jagger"
"Mick Jagger / Joss Stone","Mick Jagger and Joss Stone"
"Mick Jagger w/ Dave Grohl","Mick Jagger with Dave Grohl"
"Mick Maloney","Mick Moloney"
"Mick Man","Man Man"
"Micro Penis","DJ Micro Penis"
"Mid America","America "
"Middle Class","Middle Class Rut"
"Middle East","The Middle East"
"Middle Georgia Singing Convention No. 1","Middle Georgia Singing Convention #1"
"Midight Oil","Midnight Oil"
"Midklake","Midlake"
"Midlake ","Midlake"
"Midnight Evil","Midnight Evils"
"Midnight Hour","The Midnight Hour"
"Midnight Runner","Dexy's Midnight Runner"
"Midnight Runners","Dexy's Midnight Runners"
"Midnights Juggernauts","Midnight Juggernauts"
"Midnight StaR","Midnight Star"
"Midnight Stars","Midnight Star"
"Midsnight Star","Midnight Star"
"Mieshell Ndegeocello","Meshell Ndegeocello"
"Mighty Chariots Of Fire","Mighty Chariots of Fire"
"Mighty Mighty","Mighty Fairly"
"Mighy Poplar","Mighty Poplar"
"Migos x Earth Wind & Fire","Earth  Wind & Fire"
"Miguel ","Miguel"
"Miguelito Valdés","Miguelito Valdes"
"Miguel Mig","Miguel Migs"
"Miguel Miggs","Miguel Migs"
"Miguel (Migs)","Miguel Migs"
"Miguel Mig's","Miguel Migs"
"Miiike Snow","Miike Snow"
"Miike Dunn","Mike Dunn"
"Miike Snow ","Miike Snow"
"Miik Snow","Miike Snow"
"Mikaela Davis ","Mikaela Davis"
"Mike And Ruthy","Mike and Ruthy"
"Mike and The Moonpies","Mike and the Moonpies"
"Mike Auldrige","Mike Auldridge"
"Mike Berry & The Outlaws","Mike Berry & the Outlaws"
"Mike Bloomfield, Al Kooper, and Stephen Stills","Mike Bloomfield, Al Kooper & Stephen Stills"
"Mike Bloomfield / Al Kooper / Steve Stills","Mike Bloomfield, Al Kooper, Steve Stills"
"Mike Burnett","Mike Barnett"
" Mike Craver","Mike Craver"
"Mike DeVille","Mink DeVille"
" Mike Doughty","Mike Doughty"
"Mike Doughty (Live)","Mike Doughty "
"Mike Doughty & Rosanne Cash","Mike Doughty and Rosanne Cash"
"Mike Doughty / Rosanne Cash","Mike Doughty and Rosanne Cash"
"Mike Doughty & Roseanne Cash","Mike Doughty and Rosanne Cash"
"Mike Flowers Pops","The Mike Flowers Pops"
"Mike Gordon & Leo Kottke"," Leo Kottke & Mike Gordon"
"Mikel Cronin","Mikal Cronin"
"Mike Marshall & Darol Anger","Darol Anger & Mike Marshall"
"Mike MFN Love","Mike Love"
"Mike Mictlan & Lazerbeak","Mike Mictlan and Lazerbeak"
"Mike Mitchell","Mike Michel"
"Mike Murray","Mickey Murray"
"Mike Nesmith & the First National Band","Mike Nesmith and the First National Band"
"Mike Nesmith & The First National Band","Mike Nesmith and the First National Band"
" Mike Oldfield","Mike Oldfield"
"Mike Snow","Miike Snow"
"Mike Stinson & Johnny Irion","Mike Stinson and Johnny Irion"
"Mike Watts","Mike Watt"
"Mike Zito & Albert Castiglia","Mike Zito and Albert Castiglia"
"Mild HIgh Club","Mild High Club"
"Mildred Bailey ","Mildred Bailey"
"Mile Davis","Miles Davis"
"Mile Davis Quintet","Miles Davis Quintet"
"Mile High Club","Mild High Club"
"Miles Davies","Miles Davis"
"  Miles Davis"," Miles Davis"
"*Miles Davis","Miles Davis"
"Mil;es Davis","Miles Davis"
"Miles Davis.","Miles Davis"
"Miles Davis and Gil Evans","Miles Davis and the Gil Evans Orch"
"*Miles Davis and John Coltrane","Miles Davis and John Coltrane"
"Miles Davis And John Coltrane","Miles Davis and John Coltrane"
"Miles Davis and the Gil Evans Orchestra","Miles Davis and the Gil Evans Orch"
"Miles Davis & Gil Evans","Miles Davis & the Gil Evans Orch"
"Miles Davis & John Coltra","Miles Davis & John Coltrane"
"Miles Davis, John Coltrane","Miles Davis & John Coltrane"
"Miles Davis Mix"," Miles Davis"
"Miles Davis Nonet"," Miles Davis"
"Miles Davis remix"," Miles Davis"
"Miles Davis Remix"," Miles Davis"
"Miles Davis Septet","Miles Davis Sextet"
"MileyCyrus","Miley Cyrus"
"Milies Davis","Miles Davis"
"Milk Talk","Talk Talk"
"Milky Chance ","Milky Chance"
"Milky ChanceÂ ","Milky Chance"
"Milla, The Steve Miller Band","The Steve Miller Band"
"Mille Jackson","Millie Jackson"
"Millie Small ","Millie Small"
"Millie Smalls","Millie Small"
"Million Dollar Quartet","The Million Dollar Quartet"
"Mills","D Mills"
"Mills Brothers, The","The Mills Brothers"
"Mils Davis","Miles Davis"
"*Milt Jackson","Milt Jackson"
"Milt Jackson Sextet"," Milt Jackson"
"Milt Jackson's Quartet","Milt Jackson Quartet"
"Miltom Jackson","Milt Jackson"
"Milton Greene","Milo Greene"
"Milton Jackson","Milt Jackson"
"Milton Nacimento","Milton Nascimento"
"Milton Nasciemento","Milton Nascimento"
"Milton Nascimento ","Milton Nascimento"
"Mi Luna","Luna "
"  Mimicking Birds","Mimicking Birds"
"Mimmicking Birds","Mimicking Birds"
"Mindbenders, The","The Mindbenders"
"Mindsgn","Mndsgn"
"Minerals","Mineral"
"Ministy","Ministry"
"MInnie Riperton","Minnie Riperton"
"Minnie Ripeton","Minnie Riperton"
"Minni Ripperton","Minnie Ripperton"
"Minor Threat ‎","Minor Threat"
"Minor ThreatG","Minor Threat"
"Minstry","Ministry"
"Mint Fields","Mint Field"
"Minus The Bear ","Minus The Bear"
"Minutemen ‎","Minutemen"
"Minutement","Minutemen"
"Minutermen","Minutemen"
"Minutmen","Minutemen"
"Mio Doi Todd","Mia Doi Todd"
"Miohael Jackson","Michael Jackson"
"Miracle","Miracles"
"Miracles, The","The Miracles"
"Mirah And Spectratone International","Mirah and Spectratone International"
"Mirah & Spectratone International","Mirah and Spectratone International"
"Miraim Makeba","Miriam Makeba"
"Miriam Makaba","Miriam Makeba"
"Mirielle Mathieu","Mireille Mathieu"
"Mirror","Mirrors"
"Misfit","Misfits"
"Misfits ‎","Misfits"
"Misfitts","Misfits"
"Mishell Ndegeocello","Meshell Ndegeocello"
"Mishel Ndegeocello","Meshell Ndegeocello"
"Miss Fred McDowell","Fred McDowell"
"Miss. Fred McDowell","Fred McDowell"
"Missing Oersons","Missing Persons"
"MIssing Persons","Missing Persons"
"Mission Of Burma ‎","Mission Of Burma"
"Mission To Burma","Mission of Burma"
"Missippi Fred McDowell","Mississippi Fred McDowell"
"Missippi John Hurt","Mississppi John Hurt"
"Missisippi John Hurt","Mississippi John Hurt"
"Mississipi Fred McDowell","Mississippi Fred McDowell"
"﻿Mississippi Fred McDowell","Mississippi Fred McDowell"
"Mississippi Fred McDowell ","Mississippi Fred McDowell"
"Mississippi Fred MC Dowell","Mississippi Fred McDowell"
"Mississippi Fre McDowell","Mississippi Fred McDowell"
"Mississippi John Hart","Mississippi John Hurt"
"Mississippi John  Hurt","Mississippi John Hurt"
"Mississippi John Hurt '66","Mississippi  John Hurt"
"Mississpippi John Hurt","Mississippi John Hurt"
"Misson of Burma","Mission of Burma"
"Misssing Persons","Missing Persons"
"Missy Elliott ","Missy Elliott"
"Missy Elliott +","Missy Elliott"
"Mister Heavely","Mister Heavenly"
"Mister Mister","Mister Heavenly"
"MIster Rogers","Mister Rogers"
"Mistfits","Misfits"
"Misty Roots","Misty in Roots"
"Misunderstood","The Misunderstood"
"Mitch And Mickey","Mitch and Mickey"
"Mitchell, Joni"," Joni Mitchell"
"Mitch Ryder and the Detroit Wheels","Mitch Ryder and The Detroit Wheels"
"Mitch Ryder And The Detroit Wheels","Mitch Ryder and The Detroit Wheels"
"Mitch Ryder & Detroit Wheels","Mitch Ryder and The Detroit Wheels"
"Mitch Ryder & The Detroit Wheels","Mitch Ryder and The Detroit Wheels"
"Mitski ","Mitski"
"Mitski (My KUTX - Buffalo Hunt)","Buffalo Buffalo Buffalo"
"Mitski�","Mitski"
"Mixed Blood Majoritys","Mixed Blood Majority"
"Miya Folik","Miya Folick"
"Miya Frolick","Miya Folick"
"Miyah Folick","Miya Folick"
"Mizell Brothers","The Mizell Brothers"
"MJ Cole","J Cole"
"Mj Lenderman","MJ Lenderman"
"MJ Lenderman ","MJ Lenderman"
"MK and The Nightcrawlers","The Nightcrawlers"
"Mk. gee","Mk.gee"
"M Madness","Madness"
"Mnddsgn","Mndsgn"
"MNDR + Scissor Sisters","Scissor Sisters"
"Mndsgn.","Mndsgn"
"Mob Deep","Mobb Deep"
"Mob, The","The The"
"Moby   ","Moby "
"Moby And Mark Lanegan","Moby and Mark Lanegan"
"Moby and serpentwithfeet","Moby and Serpentwithfeet"
"Moby and the Void Pacific Choir","Moby and The Void Pacific Choir"
"Moby And The Void Pacific Choir","Moby and The Void Pacific Choir"
"Moby Grape ","Moby Grape"
"Moby & serpentwithfeet","serpentwithfeet"
"Moby & The Pacific Void Choir","Moby and The Void Pacific Choir"
"Moby & The Void Pacific Choir","Moby and The Void Pacific Choir"
"Moby & The Void Pacific Choir ","Moby and The Void Pacific Choir"
"Moby & The Void Pacific Chor","Moby and The Void Pacific Choir"
"Mocheeba","Morcheeba"
"Model Actriz","Model/Actriz"
"Model/Aktriz","Model/Actriz"
"Model Man","Man Man"
"Moderate","Moderat"
"Modern jazz Quartet","Modern Jazz Quartet"
"Modern Lovers","The Modern Lovers"
"Modern Lovers, The","The Modern Lovers"
"Modern Man","Man Man"
"Modeselktor","Modeselektor"
"Modeski Martin and Wood","Medeski Martin and Wood"
"Modeslektor","Modeselektor"
"Modesrt Mouse","Modest Mouse"
"Modest  Mouse","Modest Mouse"
"Modest Mouse ","Modest Mouse"
"Modest Mouse, 764-Hero","Modest Mouse/764-Hero"
"Modest Moust","Modest Mouse"
"Modselektor","Modeselektor"
"Mogawai","Mogwai"
"Mohawks","Mohawk"
"Mo Horizons","Mo' Horizons"
"Mo'Horizons","Mo' Horizons"
"Mo’ Horizons","Mo' Horizons"
"Mojave 3 ","Mojave 3"
"Mojave3","Mojave 3"
"Mollie O'Brie","Mollie O'Brien"
"Molly","Molly O"
"Molly Burch `","Molly Burch"
"Molly BurchÂ","Molly Burch"
"Molly BurchÂ ","Molly Burch"
"Molly Turtle","Molly Tuttle"
"Molly Tuttle ","Molly Tuttle"
"Molly Tuttle & Billy Strings","Molly Tuttle Billy Strings"
"MollyTuttle & Golden Highway","Molly Tuttle & Golden Highway"
"Molly Tuttle & Golden Hwy","Molly Tuttle & Golden Highway"
"Moly Burch","Molly Burch"
"Momma ","Momma"
"Monae, Janelle","Janelle Monae"
"Mondo Cozmo ","Mondo Cozmo"
"Mondre Man","Man Man"
"Money Man","Man Man"
"Mongo Santamaría","Mongo Santamaria"
"Mongo Santamaria Band","Mongo Santamaria"
"Mongo Santanmaria","Mongo Santamaria"
"Mongo Santmaria","Mongo Santamaria"
"Monica LaPalnte","Monica LaPlante"
"Monica Laplante","Monica LaPlante"
"Monica La Plante","Monica LaPlante"
"Mônica Salmaso","Monica Salmaso"
"Monica Zetterlund w/ Bill Evans","Monica Zetterlund and Bill Evans"
"Monika LaPlante","Monica LaPlante"
"Moni Love","Monie Love"
"Monkey Man","Man Man"
"Monks Of Doom","Monks of Doom"
"Mono ","Mono"
"Monochrome Set","The Monochrome Set"
"Mono Cozmo","Mondo Cozmo"
"Mono Mono","Mono Moon"
"Monotones","The Monotones"
"Monquito Santamaria","Monguito Santamaria"
"Monsieur Monsieur","Monsieur Gainsbourg"
"Monster Mahnet","Monster Magnet"
"Monsters of Folk ","Monsters of Folk"
"Monsters Of Folk","Monsters of Folk"
" Monte Warden","Monte Warden"
"  Monte Warden  and the Dangerous Few","Monte Warden and the Dangerous Few"
"Monte Warden   and the Dangerous Few","Monte Warden and the Dangerous Few"
"Möntley Crüe","Mötley Crüe"
"Montreal","of Montreal"
"Monty Pythn","Monty Python"
"Monty Warden and The Dangerous Few","Monte Warden and the Dangerous Few"
"Mood Swings","The Mood Swings"
"Moody Blues","The Moody Blues"
"Moody Man","Man Man"
"Moon Duo ‎","Moon Duo"
"Moonglows","The Moonglows"
"Moon Honey","Honey Honey"
"Moon Man","Man Man"
"Moon Moon","Black Moon"
"Moon Mullican ","Moon Mullican"
"Moon Mulligan","Moon Mullican"
"Moontrekkers","The Moontrekkers"
"Moorcheeba","Morcheeba"
"Moor Mother","Mother Mother"
"Moor Mother Goddess","Mother Mother"
"Moor Mother & Yatta","Mother Mother"
"Moose Jackson","Bull Moose Jackson"
"Morcheba","Morcheeba"
"More Noise for Life","Noise Noise Noise"
"Morgan Harper‐Jones","Morgan Harper-Jones"
"Morgan Hertitage","Morgan Heritage"
"Morgans Heritage","Morgan Heritage"
"Morgn Delt","Morgan Delt"
"Moris Wilson","Morris Wilson"
"Morly ","Morly"
"Mor Mor","MorMor"
"Mor.Mor","MorMor"
"Morning After Girls","The Morning After Girls"
"Morning Benders","The Morning Benders"
" Morning Star","Bright Morning Star"
"Morphine ","Morphine"
"Morricone, Ennio","Ennio Morricone"
"Morrisey","Morrissey"
"Morris Haynes","Morris Hayes"
"Morrissey ","Bill Morrissey"
"Morrissey –","Morrissey"
"Mort Garrison","Mort Garson"
"Mort Stevens","Morton Stevens"
"Mos Def & The Isley Brothers","The Isley Brothers "
"Mose Alilison","Mose Allison"
"Mose Alison","Mose Allison"
"Mose Allison R.I.P.","Mose Allison "
"Moses Somney","Moses Sumney"
"Moses Summney","Moses Sumney"
"Moses Sumney ","Moses Sumney"
"Mosquito","Mosquitos"
"Mosquitoes","Mosquitos"
"Moss Def","Mos Def"
"Most Def","Mos Def"
"Most Serene Republic","The Most Serene Republic"
