artist, artist_normalized
"Adrian Younge & Ali Shaheed Muhammed","Adrian Younge and Ali Shaheed Muhammad"
"Adrian Younge And Ali Shaheed Muhammad","Adrian Younge and Ali Shaheed Muhammad"
"Adrian Younge and Ali Shaheed Muhammad feat. Roy Ayers","Adrian Younge and Ali Shaheed Muhammad"
"Adrian Younge and Ali Shaheed Muhammed","Adrian Younge and Ali Shaheed Muhammad"
"Adrienne Lenker","Adrianne Lenker"
"Advisory Circle","Circle Circle"
"Aesop Rock & Homeboy Sandman","Aesop Rock and Homeboy Sandman"
"A Far Cry","Cry Cry Cry"
"Afel Bocoum, Damon Albarn, Toumani Diabate","Afel Bocoum, Damon Albarn, Toumani Diabate and Friends"
"Afel Bocoum Damon Albarn Toumani Diabate and Friends","Afel Bocoum, Damon Albarn, Toumani Diabate and Friends"
"Afel Bocoum / Damon Albarn / Toumani Diabate And Friends","Afel Bocoum, Damon Albarn, Toumani Diabate and Friends"
"Afel Bocoum, Damon Albarn, Toumani Diabeté & Friends","Afel Bocoum, Damon Albarn, Toumani Diabate and Friends"
"Afel Bocum, Damon Albarn, Toumani Diabate & Friends","Afel Bocoum, Damon Albarn, Toumani Diabate and Friends"
"Afghan Wings","Afghan Whigs"
"Afiko Man","Man Man"
"Africa Bambaataa & The Soul Sonic Force","Afrika Bambaataa & The Soul Sonic Force"
"Africa Music Machine","African Music Machine"
"African Head Charge","American Head Charge"
"Africka Bambaata & John Lydon","Afrika Bambaata & John Lydon"
"Afrikaa Bambaataa","Afrika Bambaataa"
"Afrika Bambaata","Afrika Bambaataa"
"Afrika Bambaataa and Soul Sonic Force","Afrika Bambaataa and The Soul Sonic Force"
"Afrika Bambaataa and the Soul Sonic Force","Afrika Bambaataa and The Soul Sonic Force"
"Afrika Bambaataa & James Brown","Afrika Bambaataa and James Brown"
"Afrika Bambaataa & Soulsonic Force","Afrika Bambaataa & The Soulsonic Force"
"Afrika Bambaataa & Soul Sonic Force","Afrika Bambaataa & The Soul Sonic Force"
"Afrika Bambaataa & the Soulsonic Force","Afrika Bambaataa & The Soulsonic Force"
"AFrika Bambaataa & The Soul Sonic Force","Afrika Bambaataa & The Soul Sonic Force"
"Afrika Bambaata & James Brown","Afrika Bambaataa and James Brown"
"Afrika Bambaata & Soul Sonic Force","Afrika Bambaataa & The Soul Sonic Force"
"Afrika Bambaattaa & Soulsonic Force","Afrika Bambaataa & The Soulsonic Force"
"Afrika Bambata and The Soul Sonic Force","Afrika Bambaataa and The Soul Sonic Force"
"Afrocelt Sound System","Afro Celt Sound System"
"Afro Celt Soundsystem","Afro Celt Sound System"
"Afro Celt Sound System ","Afro Celt Sound System"
"Afro-Celt Sound System","Afro Celt Sound System"
"Afro-Celt Sound System ","Afro Celt Sound System"
"Afro Cuban All Stars","Afro-Cuban All Stars"
"Afro‐Cuban All Stars","Afro-Cuban All Stars"
"AfroCuban All Stars","Afro-Cuban All Stars"
"Afrocubismo","Afrocubism"
"Afrolicous","Afrolicious"
"After Dark","Dark Dark Dark"
"After The Fire","After the Fire"
"Again Again","Sorry Again"
"Against Me","Against Me!"
"Agents of Good Roots","Agents Of Good Roots"
"Age Of Chance","Age of Chance"
"Ages And Ages","Ages and Ages"
"AGF & Craig Armstrong","Craig Armstrong"
"Aggrolites","The Aggrolites"
"A Girl Called Edd","A Girl Called Eddy"
"`A Girl Called Eddy","A Girl Called Eddy"
"AG & John Robinson","John Robinson"
"Agness Obel","Agnes Obel"
"Agust Alsina","August Alsina"
"Agustus Pablo","Augustus Pablo"
"*Ahmad Jamal","Ahmad Jamal"
"Ahmad Jamal Trio","Ahmad Jamal"
"Ahmad, Ras Kass & Saafir","Ahmad, Ras Kass, Saafir"
"Aida Victoria","Adia Victoria"
"Aife O'Donovan","Aoife O'Donovan"
"AI Frank Sinatra"," Frank Sinatra "
"Ailce Russell","Alice Russell"
"Aimee Man","Man Man"
"Aimee Mann & Michael Penn","Aimee Mann and Michael Penn"
"Aimee Mann & Michael Penn ","Aimee Mann and Michael Penn "
"  Aine Minogue","Aine Minogue"
"Aine Minouge","Aine Minogue"
"Air "," Air"
"Airborne Toxic Event","The Airborne Toxic Event"
