title, title_normalized
"These Are The Ghosts [Undead Version]","These Are The Ghosts"
"Who Cares What the question Is","Who Cares What The Question Is?"
"Dancing queen","Dancing Queen"
"Gimme! Gimme! Gimme!(A Man After Midnight)","Gimme! Gimme! Gimme! (A Man After Midnight)"
"The Winner Takes it All","The Winner Takes It All"
"Dancing Queemn","Dancing Queen"
"Dancing queen","Dancing Queen"
"Don’t Shut Me Down","Don't Shut Me Down"
"Gimme! Gimme! Gimme! (a Man After Midnight)","Gimme! Gimme! Gimme! (A Man After Midnight)"
"Gimmie! Gimmie! Gimmie! (A Man After Midnight)","Gimme! Gimme! Gimme! (A Man After Midnight)"
"I Have A Dream","I Have a Dream"
"I Still Have Faith in You","I Still Have Faith In You"
"Just a Notion","Just A Notion"
"Lay All Your Love on Me","Lay  All Your Love On Me"
"Lay All Your Love On Me","Lay  All Your Love On Me"
"One of us","One of Us"
"One Of Us","One of Us"
"S.O.S","S.O.S."
"Take a Chance On Me","Take A Chance On Me"
"Too Marvelous For Words","Too Marvelous for Words"
"Afro-Blue","Afro Blue"
"Afro‐Blue","Afro Blue"
"Born In The City","Born in the City"
"Afro-Blue","Afro Blue"
"Be near Me","Be Near Me"
"Be  Near Me 12""","Be Near Me"
"Be Near Me 12""","Be Near Me"
"Look of Love","Look Of Love"
"The Look of Love","The Look Of Love"
"The Look  Of Love","The Look Of Love"
"The Look Of Love (Part 1)","The Look Of Love"
"Chains (remix)","Chains"
"Divine Bell","Devine Bell"
"Nirvana","About A Girl"
"Above The Law","Wha Cha Can Prove"
"Another Execution","Another Execution Instrumental"
"Deja Vu [feat. Mavis Staples]","Deja Vu feat. Mavis Staples"
"Deja Vu (Feat. Mavis Staples)","Deja Vu feat. Mavis Staples"
"Déjà Vu (feat. Mavis Staples)","Deja Vu feat. Mavis Staples"
"Deja Vu (ft. Mavis Staples)","Deja Vu feat. Mavis Staples"
"Deja Vu (Ft. Mavis Staples)","Deja Vu feat. Mavis Staples"
"The Crashers and the Snappers","The Crashers And The Snappers"
"What U Waitn 4","What U Waitin 4"
"Bird on the Wing","Bird On The Wing"
"That's the Way it Had to Go","That’s the Way it Had to Go"
"Back in Black","Back In Black"
"Dirty Deeds Done Dirt Cheap (live)","Dirty Deeds Done Dirt Cheap"
"Dirty Deeds Done Dirt Cheap (live - 1976)","Dirty Deeds Done Dirt Cheap"
"Given the Dog a Bone","Given The Dog a Bone"
"Givin The Dog A Bone","Givin' The Dog A Bone"
"Highway to Hell","Highway To Hell"
"It's A Long Way To The Top","It's A Long Way to the Top"
"It's a Long Way to the Top (If You Wanna Rock and Roll)","It's a Long Way to the Top (If You Wanna Rock 'n' Roll)"
"It’s a Long Way to the Top (If You Wanna Rock ’n’ Roll)","It's a Long Way to the Top (If You Wanna Rock 'n' Roll)"
"It's a Long Way to the Top (If You Wanna Rock 'N' Roll)","It's a Long Way to the Top (If You Wanna Rock 'n' Roll)"
"It's a Long Way to the Top (If You Wanna Rock N Roll)","It's a Long Way to the Top (If You Wanna Rock 'n' Roll)"
"It's A Long Way To The Top (If You Wanna Rock 'n' Roll)","It's a Long Way to the Top (If You Wanna Rock 'n' Roll)"
"It's A Long Way To The Top (If You Wanna Rock 'N' Roll)","It's a Long Way to the Top (If You Wanna Rock 'n' Roll)"
"Love at First Feel","Love At First Feel"
"Rock and Roll Ain’t Noise Pollution","Rock and Roll Ain't Noise Pollution"
"Rock And Roll Ain't Noise Pollution","Rock and Roll Ain't Noise Pollution"
"Shoot To Thrill","Shoot to Thrill"
"Shot Down in Flames","Shot Down In Flames"
"Show Down In Flames","Shot Down In Flames"
"Thunderstuck","Thunderstruck"
"Whole Lotta Rosie [live]","Whole Lotta Rosie"
"You Shook Me All night Long","You Shook Me All Night Long"
"It's a Long Way to the Top (If You Wanna Rock and Roll)","It's a Long Way to the Top (If You Wanna Rock 'n' Roll)"
"New York groove","New York Groove"
"New York Grove","New York Groove"
"The New York Groove","New York Groove"
"I Saw The Sign","The Sign"
"Dirty Boy (feat. Barry Adamson)","Dirty Boy feat. Barry Adamson"
"Dirty Boy (Feat. Barry Adamson)","Dirty Boy feat. Barry Adamson"
"Do The Du","Do the Du"
"Do the Du (casse)","Do the Du"
"Do the Du (The Graveyard)","Do The Du (The Graveyard)"
"Shack Up Work Remix","Shack Up"
"The Hunt","THe Hunt"
"Freedom to Talk","Talk Talk"
"Acid Tongue","Don't Care"
"Guess I Don't Care","Don't Care"
"Jenny Lewis","Acid Tongue"
"Just Talk","Talk Talk"
"Just Talk","Talk Talk"
"Just Talk","Talk Talk"
"Drink to Me Babe, Then","Drink To Me, Babe, Then"
"Take on Me","Take On Me"
"Drink to Me, Babe, Then","Drink To Me, Babe, Then"
"Drink To Me Babe Then","Drink To Me, Babe, Then"
"Drink to Me, Baby, Then","Drink To Me, Babe, Then"
"Encyclopedia of Classic Takedowns","Encyclopedia Of Classic Takedowns"
"Encyclopedia Of Classic Takedowns (Feat. Neko Case)","Encyclopedia Of Classic Takedowns"
"Not Talking","I'm Not Talking"
"Submarines of Stockholm","Submarines Of Stockholm"
"Take on Me","Take On Me"
"The Battle for Straight Time","The Battle For Straight Time"
"The Palace at 4 A.M.","The Palace At 4 A.M."
"Encyclopedia of Classic Takedowns","Encyclopedia Of Classic Takedowns"
"I’m Not Talking","I'm Not Talking"
"Talk About It","Talk Talk"
"Rock And Roll","Rock and Roll"
"Boogaloo - Tramp","Boogaloo Tramp"
"Bobby Womack","Across 110th Street"
"Tom, The Peeper","Tom The Peeper"
"SubZero","Subzero"
"Subtle (feat. Mikky Ekko)","Subtle feat. Mikky Ekko"
"Subtle Feat. Mikky Ekko","Subtle feat. Mikky Ekko"
